ID,Species,Treatment,Time
Labeo_Ben_1wk_001B,Labeotropheus,Benthic,1wk
Labeo_Ben_1wk_002B,Labeotropheus,Benthic,1wk
Labeo_Ben_1wk_003B,Labeotropheus,Benthic,1wk
Labeo_Ben_1wk_004B,Labeotropheus,Benthic,1wk
Labeo_Ben_1wk_005B,Labeotropheus,Benthic,1wk
Labeo_Ben_1wk_006B,Labeotropheus,Benthic,1wk
Labeo_Ben_2wk_007B,Labeotropheus,Benthic,2wk
Labeo_Ben_2wk_008B,Labeotropheus,Benthic,2wk
Labeo_Ben_2wk_009B,Labeotropheus,Benthic,2wk
Labeo_Ben_2wk_010B,Labeotropheus,Benthic,2wk
Labeo_Ben_2wk_011B,Labeotropheus,Benthic,2wk
Labeo_Ben_2wk_012B,Labeotropheus,Benthic,2wk
Labeo_Ben_4wk_013B,Labeotropheus,Benthic,4wk
Labeo_Ben_4wk_014B,Labeotropheus,Benthic,4wk
Labeo_Ben_4wk_015B,Labeotropheus,Benthic,4wk
Labeo_Ben_4wk_016B,Labeotropheus,Benthic,4wk
Labeo_Ben_4wk_017B,Labeotropheus,Benthic,4wk
Labeo_Ben_8wk_018B,Labeotropheus,Benthic,8wk
Labeo_Ben_8wk_019B,Labeotropheus,Benthic,8wk
Labeo_Ben_8wk_020B,Labeotropheus,Benthic,8wk
Labeo_Ben_8wk_021B,Labeotropheus,Benthic,8wk
Labeo_Ben_8wk_022B,Labeotropheus,Benthic,8wk
Labeo_Pel_1wk_001P,Labeotropheus,Pelagic,1wk
Labeo_Pel_1wk_002P,Labeotropheus,Pelagic,1wk
Labeo_Pel_1wk_003P,Labeotropheus,Pelagic,1wk
Labeo_Pel_1wk_004P,Labeotropheus,Pelagic,1wk
Labeo_Pel_1wk_005P,Labeotropheus,Pelagic,1wk
Labeo_Pel_1wk_006P,Labeotropheus,Pelagic,1wk
Labeo_Pel_2wk_007P,Labeotropheus,Pelagic,2wk
Labeo_Pel_2wk_008P,Labeotropheus,Pelagic,2wk
Labeo_Pel_2wk_009P,Labeotropheus,Pelagic,2wk
Labeo_Pel_2wk_011P,Labeotropheus,Pelagic,2wk
Labeo_Pel_2wk_012P,Labeotropheus,Pelagic,2wk
Labeo_Pel_4wk_013P,Labeotropheus,Pelagic,4wk
Labeo_Pel_4wk_014P,Labeotropheus,Pelagic,4wk
