Species,Time,Treatment,kiaa0586,actr6,asb5,sp7,capn1,gnmt,cdc20,ptch1,notch1a,opg,rankl,rankl_opg,,,
MG,1wk,Benthic,2.32E-05,0.002179826,0.010010594,0.000664125,0.014957609,0.009529224,4.81E-06,0.001302515,0.000179485,0.00139971,0.007437406,5.224318821,,,
MG,1wk,Benthic,3.64E-05,0.002487422,0.007753739,0.000910372,0.015504107,0.009934603,5.59E-06,0.00157727,0.000177297,0.001462548,0.007774572,29.65736903,,,
MG,1wk,Benthic,3.93E-05,0.002428792,0.009867328,0.000895495,0.015424273,0.010299069,7.17E-06,0.001619585,0.000157507,0.001523998,0.007686515,4.904061858,,,
MG,1wk,Benthic,3.46E-05,0.007037922,0.001595248,0.000590591,0.036894196,0.013661672,3.07E-05,0.00124044,0.001436228,0.000516422,0.018185866,15.38883829,,,
MG,1wk,Benthic,3.54E-05,0.006802789,0.001174019,0.000606928,0.034302162,0.013996749,3.49E-05,0.003704169,0.001177454,0.000665407,0.018982044,40.8863889,,,
MG,1wk,Benthic,4.21E-05,0.006417428,0.00082411,0.000601456,0.037609505,0.013073948,2.82E-05,0.002655643,0.001251757,0.000606333,0.015297774,9.358262511,,,
MG,1wk,Benthic,7.24E-05,0.043492191,0.011232934,0.002608707,0.193477514,0.108901337,6.71E-06,0.017370687,0.000601087,0.007645024,0.049156101,26.27416724,,,
MG,1wk,Benthic,1.04E-04,0.045339738,0.01164841,0.003023451,0.18814388,0.124449619,3.05E-05,0.019098772,0.000651705,0.008533353,0.028828287,,,,
MG,1wk,Benthic,6.86E-05,0.047867152,0.010102031,0.003060896,0.180249947,0.119563287,6.68E-06,0.019121995,0.000994214,0.008171677,0.016832266,,,,
MG,1wk,Benthic,3.13E-05,0.005987939,0.020864952,0.00063816,0.030353185,0.013551183,0.000049502,0.003189199,0.001536094,0.001077263,0.016681416,,,,
MG,1wk,Benthic,3.26E-05,0.005872951,0.020625749,0.00066172,0.032037932,0.013008151,2.75E-05,0.003528664,0.00153022,0.001075986,0.014597186,,,,
MG,1wk,Benthic,2.34E-05,0.006001663,0.021655355,0.000687213,0.019432506,0.013906056,3.68E-05,0.003749379,0.000729407,0.00097068,0.035810327,,,,
MG,1wk,Benthic,3.66E-05,0.01469463,0.010789686,0.000499989,0.04310027,0.031144942,2.74E-05,0.006587411,0.001133063,0.000847911,0.032800247,,,,
MG,1wk,Benthic,5.14E-05,0.015977945,0.012633381,0.000773461,0.041459118,0.030991806,1.66E-05,0.00812506,0.000758469,0.000759349,0.029178168,,,,
MG,1wk,Benthic,3.51E-05,0.015955225,0.011129972,0.00079664,0.040946372,0.032822105,2.43E-05,0.007918409,0.000391969,0.000783719,0.142140141,,,,
MG,1wk,Benthic,0.000289275,0.072921291,0.01760996,0.004208407,0.342426846,0.211681962,3.15E-05,0.031990521,0.002927692,0.015110609,0.136846895,,,,
MG,1wk,Benthic,0.000174966,0.075001046,0.017479677,0.005064494,0.390255647,0.224629757,5.14E-05,0.037440364,0.002404304,0.013861998,0.133714411,,,,
MG,1wk,Benthic,0.000213037,0.078156847,0.014871341,0.004500686,0.386660529,0.219494201,4.20E-05,0.037151299,0.002184088,0.015201639,0.081626725,,,,
MG,1wk,Benthic,4.72E-05,0.03852692,,0.000823111,0.213263091,0.103064428,5.86E-05,0.014608976,0.001962986,0.004496046,0.074851637,,,,
MG,1wk,Benthic,6.29E-05,0.03900887,,0.001234913,0.210418959,0.102253926,0.000044192,0.016698232,0.001689759,0.001687546,0.071606596,,,,
MG,1wk,Benthic,3.80E-05,0.038864472,,0.001040366,0.095409075,0.105709816,4.10E-05,0.018153031,0.001241705,0.004389818,,,,,
MG,1wk,Pelagic,0.000253239,0.712025574,0.001675672,,0.315498079,0.00996309,9.40E-05,0.002689646,0.007835176,0.00213755,0.136294771,4.946456905,,,
